"ID","UPRN","EASTING","NORTHING","LATITUDE","LONGITUDE"
6439,139621,358497,170438,51.4314133,-2.5983979
6448,139641,361704,170435,51.4316123,-2.5522662
6478,139668,360655,170433,51.4315225,-2.5673548
6486,139682,359915,170432,51.4314616,-2.5779992
6512,139708,359965,170428,51.4314292,-2.5772794
6518,139720,358564,170427,51.4313193,-2.5974328
6419,139759,358467,170423,51.4312762,-2.5988277
6429,139773,357930,170423,51.4312364,-2.6065522
6449,139809,357925,170421,51.4312181,-2.6066239
6470,139821,359892,170418,51.4313341,-2.5783284
6494,139863,356681,170414,51.4310607,-2.6245162
6513,139888,360165,170412,51.4312994,-2.5744007
6519,139893,356892,170411,51.43105,-2.6214811
6450,139988,361023,170405,51.4312961,-2.5620584
6479,140025,361907,170402,51.4313293,-2.5493427
6501,140071,360997.13,170458.06,51.4317714,-2.5624364
6520,140100,358495,170397,51.4310445,-2.5984218
6440,140160,357941,170391,51.4309496,-2.6063901
6471,140206,360219,170387,51.4310785,-2.5736211
6472,140211,357736,170386,51.4308893,-2.6093383
6480,140217,356585,170385,51.4307925,-2.6258933
6502,140252,360870,170354,51.430827,-2.5642535
6444,140365,358919,170372,51.4308507,-2.5923197
6451,140371,358827,170371,51.430835,-2.593643
6460,140388,357898,170369,51.4307485,-2.607006
6481,140400,358302,170368,51.4307696,-2.6011946
6482,140404,359906,170367,51.4308766,-2.5781212
6495,140418,357686,170366,51.4307057,-2.6100551
6521,140443,356822,170363,51.430613,-2.6224821
6395,140465,361661,170361,51.430944,-2.5528767
6420,140480,361630,170360,51.4309329,-2.5533224
6431,140492,362703,170274,51.4302314,-2.5378794
6432,140492,362703,170274,51.4302314,-2.5378794
6430,140492,362703,170274,51.4302314,-2.5378794
6452,140527,359835,170358,51.4307906,-2.5791415
6453,140533,361806,170357,51.4309179,-2.5507906
6473,140548,356869,170356,51.4305537,-2.6218052
6514,140601,358328,170351,51.4306186,-2.6008186
6515,140605,357718,170351,51.4305732,-2.609593
6522,140610,356885,170350,51.430501,-2.6215744
6050,140633,356699,170348,51.4304687,-2.6242492
6057,140650,361701,170346,51.4308119,-2.5522997
6079,140674,356920,170345,51.4304587,-2.6210704
6091,140689,357643,170343,51.4304957,-2.6106709
6104,140692,361696,170343,51.4307846,-2.5523713
6115,140711,358819,170341,51.4305647,-2.5937546
6131,140726,361782,170340,51.4307634,-2.5511339
6132,140728,357819,170340,51.4304819,-2.6081389
6145,140752,360980,170337,51.4306818,-2.5626693
6051,140787,360001,170334,51.4305866,-2.5767508
6063,140808,359681,170331,51.4305369,-2.5813536
6080,140827,356562,170329,51.4302873,-2.6262173
6092,140837,358524,170328,51.4304263,-2.5979965
6093,140839,361932,170327,51.4306566,-2.548975
6123,140876,359957,170323,51.4304846,-2.5773825
6133,140886,359807,170322,51.4304649,-2.5795401
6146,140911,358517,170319,51.4303448,-2.5980961
6094,140988,357391,170184,51.4290471,-2.6142765
6095,140990,360486,170317,51.4304677,-2.5697727
6110,141006,360767,170315,51.4304693,-2.5657306
6124,141042,358782,170312,51.4303013,-2.5942834
6134,141045,360307,170311,51.4304013,-2.5723467
6156,141078,359314,170306,51.4302859,-2.58663
6157,141079,359810,170306,51.4303213,-2.5794951
6069,141140,359267,170301,51.4302375,-2.5873055
6070,141141,359276,170301,51.4302382,-2.587176
6081,141150,360356,170376,51.4309891,-2.5716492
6082,141160,357673,170300,51.4301113,-2.6102342
6147,141242,357561,170290,51.430013,-2.611844
6158,141248,360669,170290,51.4302377,-2.5671374
6058,141301,357707,170282,51.429952,-2.609743
6071,141319,360055,170280,51.4301049,-2.5759678
6072,141322,359117,170280,51.4300379,-2.5894608
6083,141336,359995,170278,51.4300827,-2.5768307
6096,141338,356521.21,170278.37,51.4298289,-2.6267977
6097,141343,361938,170277,51.4302074,-2.5488833
6098,141345,357697,170277,51.4299063,-2.6098862
6099,141346,357592,170277,51.4298984,-2.6113965
6105,141352,360366,170276,51.4300907,-2.5714941
6116,141371,361834,170274,51.4301735,-2.5503788
6117,141372,357693,170274,51.429879,-2.6099434
6125,141381,359308,170272,51.4299797,-2.5867123
6148,141413,359869,170268,51.4299838,-2.578642
6073,141476,360350,170264,51.4299817,-2.5717228
6106,141508,360556,170261,51.4299691,-2.5687595
6126,141536,359856,170256,51.429875,-2.5788277
6135,141545,359798,170256,51.4298709,-2.579662
6139,141552,360152,170255,51.4298869,-2.5745697
6149,141567,359126,170253,51.4297958,-2.5893281
6043,141588,357638,170250,51.4296591,-2.6107316
6052,141606,357589,170247,51.4296285,-2.6114361
6059,141621,360502,170245,51.4298215,-2.5695344
6084,141648,356563.46,170241.86,51.4295039,-2.6261856
6085,141650,359956,170241,51.4297472,-2.5773875
6100,141655,359310,170241,51.4297012,-2.58668
6107,141665,358824,170240,51.429657,-2.5936707
6111,141678,359501,170238,51.4296879,-2.5839321
6074,141785,360306,170232,51.4296909,-2.5723521
6086,141790,359877,170231,51.4296517,-2.5785227
6108,141812,359171,170229,51.4295833,-2.588678
6109,141816,359884,170229,51.4296342,-2.5784218
6112,141820,356522,170228,51.4293761,-2.6267802
6118,141832,359916,170227,51.4296185,-2.5779612
6119,141839,360595,170226,51.4296571,-2.5681946
6127,141845,357637,170226,51.4294433,-2.6107431
6150,141884,359997,170221,51.4295703,-2.5767954
6053,141922,360082,170216,51.4295314,-2.5755721
6087,141961,359324,170211,51.4294324,-2.5864751
6088,141964,357671,170211,51.429311,-2.6102523
6101,141978,359312,170209,51.4294136,-2.5866474
6128,142026,359229,170205,51.4293716,-2.5878409
6140,142042,357585,170203,51.4292326,-2.6114883
6054,142109,359407,170198,51.4293215,-2.5852796
6060,142125,361573,170195,51.4294455,-2.5541243
6064,142129,360050,170194,51.4293313,-2.5760299
6065,142139,361840,170193,51.4294456,-2.5502837
6120,142201,361587,170186,51.4293655,-2.5539219
6129,142231,360186.64,170182.63,51.4292387,-2.5740632
6136,142249,359852,170183,51.4292184,-2.5788768
6141,142253,357630,170182,51.4290472,-2.6108386
6142,142258,360682,170182,51.4292675,-2.5669383
6044,142284,359339,170178,51.4291368,-2.5862554
6047,142295,357583,170177,51.4289987,-2.611514
6055,142306,360540,170175,51.4291948,-2.5689799
6066,142324,358962,170174,51.4290736,-2.5916779
6067,142325,361671,170174,51.4292633,-2.5527124
6089,142343,360318,170171,51.4291433,-2.5721726
6143,142411,358868,170163,51.4289679,-2.5930287
6151,142419,357669,170162,51.4288703,-2.6102752
6048,142446,362022,170158,51.4291431,-2.5476622
6061,142459,360992,170156,51.4290552,-2.5624766
6075,142473,359208,170154,51.4289116,-2.588137
6076,142476,362056,170154,51.4291094,-2.5471727
6077,142478,358875,170154,51.4288875,-2.592927
6078,142481,358990,170153,51.4288868,-2.5912727
6102,142503,360070,170150,51.4289371,-2.5757372
6121,142525,359133,170148,51.4288522,-2.5892151
6130,142540,360868,170147,51.4289657,-2.5642591
6152,142563,359993,170144,51.4288777,-2.5768441
6153,142571,361897,170144,51.4290088,-2.5494586
6103,142661,358889,170135,51.4287177,-2.5927234
6113,142676,361632,170133,51.428892,-2.5532689
6122,142686,361758,170131,51.4288826,-2.5514564
6137,142709,359039,170129,51.4286746,-2.590565
6159,142727,357630,170127,51.4285527,-2.610832
6049,142764,360003,170123,51.4286896,-2.5766979
6056,142820,360975,170118,51.4287123,-2.5627169
6062,142849,357545,170116,51.4284474,-2.6120533
6068,142870,357407.52,170112.24,51.4284032,-2.6140303
6090,142902,357545,170110,51.4283934,-2.6120525
6114,142987,357410.76,170101.83,51.4283098,-2.6139824
6138,143111,361962,170089,51.4285187,-2.5485177
6144,143127,357543,170087,51.4281865,-2.6120786
6154,143133,359564,170086,51.4283257,-2.5830083
6155,143153,360356,170084,51.4283637,-2.5716161
6160,143158,361612,170083,51.4284411,-2.5535511
